# Excluded records with reason (spec v1.0 section 2)
# run date: 2026-08-24
stage	pmid	doi	year	title	reason	basis
1_no_modality_term	31773039	10.14338/ijpt-18-00039.1	2019	Clinical Monte Carlo versus Pencil Beam Treatment Planning in Nasopharyngeal Patients Receiving IMPT.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33006671	10.1186/s11671-020-03416-8	2020	microRNA-18a from M2 Macrophages Inhibits TGFBR3 to Promote Nasopharyngeal Carcinoma Progression and Tumor Growth via TGF-β Signaling Pathway.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34343545	10.1016/j.radonc.2021.07.024	2021	A randomized, controlled phase II trial of maxillofacial and oral massage in attenuating severe radiotherapy-induced oral mucositis and lipid metabolite changes	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32099385	10.2147/ott.s235948	2019	Epstein-Barr Virus-Encoded Products Promote Circulating Tumor Cell Generation: A Novel Mechanism of Nasopharyngeal Carcinoma Metastasis.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38103710	10.1016/j.envpol.2023.123164	2024	Comparing and validating air sampling methods for SARS-CoV-2 detection in HVAC ducts of student dorms.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31210089	10.1080/09674845.2019.1631943	2019	Routine coagulation molecules predict nasopharyngeal carcinoma and associated metastases.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2022.09.20.22280138	2022	Prevalence of SARS-CoV-2 and co-occurrence/co-infection with malaria during the first wave of the pandemic (the Burkina Faso case)	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34524602	10.1007/s11262-021-01859-4	2021	Molecular epidemiology of respiratory syncytial virus among children and adults in India 2016 to 2018.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38327763	10.3389/fimmu.2023.1303971	2023	Persistent CD8+ T cell proliferation and activation in COVID-19 adult survivors with post-acute sequelae: a longitudinal, observational cohort study of persiste	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.21203/rs.3.rs-20715/v1	2020	Corona virus disease 2019: hysteresis effect of chest CT and the correlation of its severity with lymphocyte count in peripheral blood	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38628867	10.3389/fmicb.2024.1376389	2024	Resurgence of respiratory syncytial virus with dominance of RSV-B during the 2022-2023 season.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35637329	10.1038/s41564-022-01135-7	2022	Platform for isolation and characterization of SARS-CoV-2 variants enables rapid characterization of Omicron in Australia.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32989921	10.1002/cac2.12100	2020	Clinical utility of Epstein-Barr virus DNA and other liquid biopsy markers in nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	NOT_FOUND	2021	Association of Circulating Nutritional Markers, Diets, Lifestyles, Workplace and Environmental Exposures With Nasopharyngeal Carcinoma In Malaysia	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	NOT_FOUND	2023	HEPATITIS B NUCLEOCAPSID PARTICLE AS IMMUNOPOTENTIATOR OF INNATE AND ADAPTIVE IMMUNITY FOR NASAL VACCINES CIGB 2020 AND MAMBISA AGAINST COVID-19	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.22541/au.161356667.75936305/v1	2021	Novel mutations in the spike protein of SARS CoV 2 from Bangladesh	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	39347199	10.7759/cureus.68220	2024	Detection of SARS-CoV-2 Variants Imported Through Land Borders at the Height of the COVID-19 Pandemic in Ghana, 2022.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33924296	10.3390/vaccines9040375	2021	Diversity in the Circulation of Influenza A(H3N2) Viruses in the Northern Hemisphere in the 2018-19 Season.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36154273	10.1128/spectrum.02368-22	2022	Multiplex PCR Detection of Respiratory Tract Infections in SARS-CoV-2-Negative Patients Admitted to the Emergency Department: an International Multicenter Study	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34737639	10.2147/cmar.s334094	2021	Prognostic Significance of Circulating Lymphocyte Subsets Before Treatment in Patients with Nasopharyngeal Carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34464857	10.1016/j.clnu.2021.07.034	2021	Low vitamin D exposure and risk of nasopharyngeal carcinoma: Observational and genetic evidence from a multicenter case-control study.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38714841	10.1038/s41598-024-61236-7	2024	Common cold viruses circulating in children threaten wild chimpanzees through asymptomatic adult carriers.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.22541/au.168542824.48000368/v1	2023	TRACKING SARS-COV-2 TRANSMISSION AND CO-INFECTION WITH OTHER ACUTE RESPIRATORY PATHOGENS USING A SENTINEL SURVEILLANCE SYSTEM IN RIFT VALLEY, KENYA	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32372027	10.1038/s41416-020-0871-1	2020	Clinical utility of serial analysis of circulating tumour cells for detection of minimal residual disease of metastatic nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2020.04.17.20069864	2020	Comparison of Four Molecular In Vitro Diagnostic Assays for the Detection of SARS-CoV-2 in Nasopharyngeal Specimens	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2024.11.08.622599	2024	Lineage-specific neutralising antibodies after SARS-CoV-2 mild disease. Immune boosting effect of vaccination	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31519214	10.1186/s13256-019-2222-5	2019	Acute human bocavirus 1 infection in child with life-threatening bilateral bronchiolitis and right-sided pneumonia: a case report.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34333072	10.1016/j.micpath.2021.105114	2021	Host metabolic reprogramming in response to SARS-CoV-2 infection: A systems biology approach.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35732159	10.1159/000525339	2022	Cytopathological Findings in Bronchoalveolar Lavage from Patients with COVID-19.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34636116	10.1002/hed.26897	2022	Identifying distinct risks of treatment failure in nasopharyngeal carcinoma: Study based on the dynamic changes in peripheral blood lymphocytes, monocytes, N cl	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37189465	10.3390/diagnostics13081364	2023	Multiplex RT Real-Time PCR Based on Target Failure to Detect and Identify Different Variants of SARS-CoV-2: A Feasible Method That Can Be Applied in Clinical La	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34048985	10.1016/j.trsl.2021.05.004	2021	Circulating microRNA profiles predict the severity of COVID-19 in hospitalized patients.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33011904	10.1007/s10096-020-04051-y	2021	Frequent detection of enterovirus D68 and rhinovirus type C in children with acute respiratory infections.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33918332	10.3390/microorganisms9040748	2021	Surveillance of SARS-CoV-2 in Frankfurt am Main from October to December 2020 Reveals High Viral Diversity Including Spike Mutation N501Y in B.1.1.70 and B.1.1.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	29581754	10.7150/jca.22505	2018	Exosomes in Nasopharyngeal Carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2020.08.21.20178863	2020	Genomic surveillance revealed prevalence of unique SARS-CoV- 2 variants bearing mutation in the RdRp gene among Nevada patients	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31729954	10.1186/s10020-019-0112-3	2019	Circulating tumor cells: a valuable marker of poor prognosis for advanced nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36038007	10.1016/j.meegid.2022.105357	2022	Epigenetic mechanisms and host factors impact ACE2 gene expression: Implications in COVID-19 susceptibility.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32155300	10.1111/cas.14381	2020	Circulating Epstein-Barr virus microRNAs BART7-3p and BART13-3p as novel biomarkers in nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2022.02.16.22271059	2022	Genomic monitoring unveils a high prevalence of SARS-CoV-2 Omicron variant in vaccine breakthrough cases	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31926154	10.1016/j.cca.2020.01.002	2020	Circulating miR-214-3p predicts nasopharyngeal carcinoma recurrence or metastasis.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37968614	10.1186/s12916-023-03100-5	2023	Transient increased risk of influenza infection following RSV infection in South Africa: findings from the PHIRST study, South Africa, 2016-2018.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2022.08.04.502459	2022	Circulating tumor DNA profiling approach based on in silico background elimination guides patient classification of multiple cancers	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.21203/rs.3.rs-2333887/v1	2022	Molecular Characterisation of Human Respiratory Adeno Viruses in Uganda	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32994745	10.1016/j.sjbs.2020.07.005	2020	Peripheral blood T cells response in human parainfluenza virus-associated lower respiratory tract infection in children.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37046474	10.3390/diagnostics13071256	2023	SARS-CoV-2 Variants of Concern: Presumptive Identification via Sanger Sequencing Analysis of the Receptor Binding Domain (RBD) Region of the S Gene.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33771238	10.3967/bes2020.115	2020	LMP2-DC Vaccine Elicits Specific EBV-LMP2 Response to Effectively Improve Immunotherapy in Patients with Nasopharyngeal Cancer.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38019696	10.1111/irv.13227	2023	Tracking severe acute respiratory syndrome coronavirus 2 transmission and co-infection with other acute respiratory pathogens using a sentinel surveillance syst	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34521745	10.1136/bcr-2021-246100	2021	Shock and dyselectrolytemia in a neonate with late-onset COVID-19 infection.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34219999	10.1007/s12291-021-00991-0	2021	Notable and Emerging Variants of SARS-CoV-2 Virus: A Quick Glance.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35568282	10.1016/j.radonc.2022.05.004	2022	Utilization of the lymph node-to-primary tumor ratio of PET standardized uptake value and circulating Epstein-Barr virus DNA to predict distant metastasis in na	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36525852	10.1016/j.jcv.2022.105354	2023	Epidemiological and genetic characteristics of respiratory syncytial virus infection in children from Hangzhou after the peak of COVID-19.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38476954	10.3389/fmicb.2024.1332276	2024	Genome sequence diversity of SARS-CoV-2 in Serbia: insights gained from a 3-year pandemic study.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31958073	10.3233/cbm-190160	2020	Circulating Epstein-Barr virus microRNA profile reveals novel biomarker for nasopharyngeal carcinoma diagnosis.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35061862	10.1371/journal.pone.0262874	2022	Non-pharmaceutical interventions during the COVID-19 epidemic changed detection rates of other circulating respiratory pathogens in Japan.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2021.01.04.21249236	2021	Saliva viral load is a dynamic unifying correlate of COVID-19 severity and mortality	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32090498	10.1002/cam4.2926	2020	Effects of oral maintenance chemotherapy and predictive value of circulating EBV DNA in metastatic nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31477699	10.1038/s41467-019-11853-y	2019	Liquid biopsy tracking during sequential chemo-radiotherapy identifies distinct prognostic phenotypes in nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31298328	10.26355/eurrev_201907_18315	2019	Correlation between COX-2 gene polymorphism and susceptibility to nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36912368	10.1002/jmv.28666	2023	Modulation of autophagy and mTOR signaling pathway genes in respiratory epithelium by respiratory syncytial virus (RSV) in children suffering from acute lower r	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34806440	10.1177/20402066211061063	2021	Clinical severe acute respiratory syndrome coronavirus 2 isolation and antiviral testing.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	30102338	10.1093/carcin/bgy108	2018	Identification of genomic alterations in nasopharyngeal carcinoma and nasopharyngeal carcinoma-derived Epstein-Barr virus by whole-genome sequencing.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33542443	10.1038/s41598-021-82787-z	2021	Saliva is more sensitive than nasopharyngeal or nasal swabs for diagnosis of asymptomatic and mild COVID-19 infection.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36448028	10.1016/j.ijregi.2022.11.009	2023	Dynamics of SARS-CoV-2 variants characterized during different COVID-19 waves in Mali.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35909608	10.1016/j.crmicr.2022.100147	2022	Suppression of influenza virus infection by rhinovirus interference - at the population, individual and cellular levels.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34337095	10.1093/ofid/ofab329	2021	Critical Presentation of a Severe Acute Respiratory Syndrome Coronavirus 2 Reinfection: A Case Report.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36830388	10.3390/ani13040602	2023	Tailored Multiplex Real-Time RT-PCR with Species-Specific Internal Positive Controls for Detecting SARS-CoV-2 in Canine and Feline Clinical Samples.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36581046	10.1016/j.virusres.2022.199033	2023	On the lookout for influenza viruses in Italy during the 2021-2022 season: Along came A(H3N2) viruses with a new phylogenetic makeup of their hemagglutinin.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35303167	10.1007/s00705-022-05405-x	2022	Molecular epidemiology and clinical characterization of human rhinoviruses circulating in Shanghai, 2012-2020.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35881313	10.1007/s00284-022-02973-8	2022	Repurposing Positive SARS-CoV-2 Antigen Test Devices for Variant Tracking.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34530047	10.1016/j.virusres.2021.198564	2021	Determination of genetic characterization and circulation pattern of Respiratory Syncytial Virus (RSV) in children with a respiratory infection, Tehran, Iran, d	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36687433	10.3389/fmed.2022.1034682	2022	Whole-genome sequencing of SARS-CoV-2 isolates from symptomatic and asymptomatic individuals in Tanzania.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	29798391	10.13201/j.issn.1001-1781.2017.23.006	2017	[Association of vitamin D receptor and its genetic polymorphisms with nasopharyngeal carcinoma].	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36362544	10.3390/jcm11216315	2022	Association of Clinical Features with Spike Glycoprotein Mutations in Iranian COVID-19 Patients.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37085445	10.1016/j.eimce.2023.04.008	2024	Molecular epidemiology of pneumococcal carriage in children from Seville, following implementation of the PCV13 immunization program in Andalusia, Spain.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32562849	10.1016/j.ijid.2020.06.048	2020	Prevalence of pneumococcal nasopharyngeal colonization and serotypes circulating in Cameroonian children after the 13-valent pneumococcal conjugate vaccine intr	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34233627	10.1186/s12879-021-06302-5	2021	Nasopharyngeal carriage of Streptococcus pneumoniae among healthy children in Kassena-Nankana districts of Northern Ghana.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37038132	10.1186/s12872-023-03144-8	2023	Mammalian sterile 20-like kinase 1 acts as a candidate biomarker of mortality of emergency surgical repair for acute type a aortic dissection.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32812862	10.1099/jmm.0.001243	2020	Detection and phylogenetic analysis of Human bocavirus in children diagnosed with acute respiratory tract infection.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35333490	10.1097/ppo.0000000000000581	2022	Circulating Plasma Epstein-Barr Virus DNA Load During the Follow-up Periods Predicts Recurrence and Metastasis in Nasopharyngeal Carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	29551087	10.1177/1533033818762910	2018	Construction, Expression, and Characterization of rSEA-EGF and In Vitro Evaluation of its Antitumor Activity Against Nasopharyngeal Cancer.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	29315663	10.1111/all.13379	2018	Circulating 25-hydroxyvitamin D, nasopharyngeal airway metabolome, and bronchiolitis severity.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33299859	10.1155/2020/1705867	2020	Radiosensitivity-Related Genes and Clinical Characteristics of Nasopharyngeal Carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35839227	10.1371/journal.pone.0271044	2022	High prevalence and clinical characteristics of respiratory infection by human rhinovirus in children from Lima-Peru during years 2009-2010.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34595399	10.1099/acmi.0.000252	2021	Genomic epidemiological analysis of SARS-CoV-2 household transmission.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31328403	10.1002/cam4.2429	2019	Targeted sequencing of cancer-related genes in nasopharyngeal carcinoma identifies mutations in the TGF-β pathway.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	28789404	10.3892/ol.2017.6308	2017	Composite Nasopharyngeal plasmacytoma with nodal paraimmunoblastic variant of small lymphocytic lymphoma: A case report.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36003362	10.1099/acmi.0.000356	2022	Human Bocavirus infection among children with respiratory tract infection in Ibadan, Nigeria.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32014908	10.21873/anticanres.13997	2020	Genetic Variations of VEGFA Gene Are Associated With Infiltration of Adjacent Tissues and the Clinical Outcome of Patients With Nasopharyngeal Carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37196044	10.1371/journal.pone.0285704	2023	Persistence of SARS-CoV-2 RNA shedding and infectivity in immunized population: Prospective study along different epidemiological periods in Argentina.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32755531	10.1099/jmm.0.001240	2020	Molecular characterization of respiratory syncytial virus circulating in Tunisia between 2015 and 2018.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/396143	2018	Network analysis of lymphocyte nucleus staining image —Data mining of lymphocyte image	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31571984	10.2147/cmar.s213264	2019	Neutrophil-to-lymphocyte ratio predicts the prognosis of stage II nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36493512	10.1016/j.redox.2022.102563	2023	New insights into extracellular and intracellular redox status in COVID-19 patients.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36422198	10.3390/medicina58111659	2022	Interleukin-6 and Outcome of Chronic Hemodialysis Patients with SARS-CoV-2 Pneumonia.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34294592	10.1016/j.jmii.2021.06.006	2022	Nasopharyngeal carriage rate, serotype distribution, and antimicrobial susceptibility profile of Streptococcus pneumoniae isolated from children under five year	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32676873	10.1007/s12028-020-01052-9	2021	Efficacy and Safety of a Nasopharyngeal Catheter for Selective Brain Cooling in Patients with Traumatic Brain Injury: A Prospective, Non-randomized Pilot Study.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36406425	10.3389/fmicb.2022.1023847	2022	Molecular evolution of human coronavirus-NL63, -229E, -HKU1 and -OC43 in hospitalized children in China.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2021.12.09.21266954	2021	Delta Variant SARS-CoV-2 infections in pediatric cases during the second wave in India	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.21203/rs.3.rs-115673/v1	2020	Human Bocavirus in Saudi Arabia: Molecular Epidemiology and Co-Infections Among Children With Acute Respiratory Tract Infections	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35444655	10.3389/fimmu.2022.814806	2022	Genetic Surveillance of Five SARS-CoV-2 Clinical Samples in Henan Province Using Nanopore Sequencing.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
